Time_Offset_Sec,H1_Strain_Masked
0.055908,-1.929125e-18
0.056152,-1.912698e-18
0.056396,-1.870379e-18
0.056641,-1.910971e-18
0.056885,-1.904871e-18
0.057129,-1.884979e-18
0.057373,-1.897918e-18
0.057617,-1.858755e-18
0.057861,-1.859053e-18
0.058105,-1.859386e-18
0.058350,-1.812274e-18
0.058594,-1.838964e-18
0.058838,-1.846084e-18
0.059082,-1.816505e-18
0.059326,-1.831364e-18
0.059570,-1.798765e-18
0.059814,-1.780853e-18
0.060059,-1.792077e-18
0.060303,-1.748162e-18
0.060547,-1.758532e-18
0.060791,-1.775858e-18
0.061035,-1.742350e-18
0.061279,-1.752644e-18
0.061523,-1.730465e-18
0.061768,-1.697580e-18
0.062012,-1.710343e-18
0.062256,-1.676664e-18
0.062500,-1.671694e-18
0.062744,-1.693413e-18
0.062988,-1.661325e-18
0.063232,-1.664439e-18
0.063477,-1.652850e-18
0.063721,-1.610387e-18
0.063965,-1.618268e-18
0.064209,-1.595886e-18
0.064453,-1.580412e-18
0.064697,-1.602277e-18
0.064941,-1.573165e-18
0.065186,-1.567381e-18
0.065430,-1.565651e-18
0.065674,-1.518349e-18
0.065918,-1.516597e-18
0.066162,-1.505342e-18
0.066406,-1.483630e-18
0.066650,-1.502723e-18
0.066895,-1.478234e-18
0.067139,-1.463622e-18
0.067383,-1.469781e-18
0.067627,-1.422451e-18
0.067871,-1.409197e-18
0.068115,-1.405598e-18
0.068359,-1.381094e-18
0.068604,-1.396868e-18
0.068848,-1.376337e-18
0.069092,-1.353060e-18
0.069336,-1.365227e-18
0.069580,-1.321210e-18
0.069824,-1.296236e-18
0.070068,-1.298005e-18
0.070312,-1.272704e-18
0.070557,-1.285831e-18
0.070801,-1.270490e-18
0.071045,-1.236961e-18
0.071289,-1.252857e-18
0.071533,-1.215633e-18
0.071777,-1.178377e-18
0.072021,-1.183294e-18
0.072266,-1.158345e-18
0.072510,-1.168001e-18
0.072754,-1.160117e-18
0.072998,-1.115320e-18
0.073242,-1.131922e-18
0.073486,-1.107153e-18
0.073730,-1.056831e-18
0.073975,-1.062725e-18
0.074219,-1.040866e-18
0.074463,-1.042930e-18
0.074707,-1.046481e-18
0.074951,-9.927227e-19
0.075195,-1.001744e-18
0.075439,-9.950274e-19
0.075684,-9.336036e-19
0.075928,-9.355819e-19
0.076172,-9.217727e-19
0.076416,-9.123999e-19
0.076660,-9.279266e-19
0.076904,-8.714362e-19
0.077148,-8.655198e-19
0.077393,-8.781021e-19
0.077637,-8.106660e-19
0.077881,-8.029182e-19
0.078125,-7.996554e-19
0.078369,-7.784179e-19
0.078613,-8.032078e-19
0.078857,-7.519037e-19
0.079102,-7.240599e-19
0.079346,-7.538806e-19
0.079590,-6.898951e-19
0.079834,-6.648386e-19
0.080078,-6.760900e-19
0.080322,-6.453794e-19
0.080566,-6.694394e-19
0.080811,-6.356996e-19
0.081055,-5.826188e-19
0.081299,-6.199280e-19
0.081543,-5.731630e-19
0.081787,-5.243832e-19
0.082031,-5.464722e-19
0.082275,-5.155116e-19
0.082520,-5.288885e-19
0.082764,-5.190595e-19
0.083008,-4.466937e-19
0.083252,-4.771807e-19
0.083496,-4.583318e-19
0.083740,-3.882865e-19
0.083984,-4.103581e-19
0.084229,-3.906454e-19
0.084473,-3.853471e-19
0.084717,-3.969570e-19
0.084961,-3.191236e-19
0.085205,-3.273825e-19
0.085449,-3.394463e-19
0.085693,-2.586663e-19
0.085938,-2.681828e-19
0.086182,-2.678047e-19
0.086426,-2.432907e-19
0.086670,-2.678916e-19
0.086914,-2.003603e-19
0.087158,-1.775861e-19
0.087402,-2.135632e-19
0.087646,-1.373991e-19
0.087891,-1.236965e-19
0.088135,-1.435453e-19
0.088379,-1.082159e-19
0.088623,-1.317300e-19
0.088867,-8.595509e-20
0.089111,-3.421379e-20
0.089355,-7.885016e-20
0.089600,-2.369466e-20
0.089844,1.771858e-20
0.090088,-1.498457e-20
0.090332,1.800871e-20
0.090576,9.197003e-21
0.090820,2.784206e-20
0.091064,9.886082e-20
0.091309,6.363102e-20
0.091553,8.745007e-20
0.091797,1.513562e-19
0.092041,1.185566e-19
0.092285,1.379055e-19
0.092529,1.476895e-19
0.092773,1.447974e-19
0.093018,2.200054e-19
0.093262,2.071470e-19
0.093506,2.010583e-19
0.093750,2.733205e-19
0.093994,2.542807e-19
0.094238,2.539355e-19
0.094482,2.788356e-19
0.094727,2.670032e-19
0.094971,3.311457e-19
0.095215,3.452728e-19
0.095459,3.192701e-19
0.095703,3.846637e-19
0.095947,3.865783e-19
0.096191,3.696329e-19
0.096436,4.015873e-19
0.096680,3.905475e-19
0.096924,4.369885e-19
0.097168,4.747338e-19
0.097412,4.413911e-19
0.097656,4.891036e-19
0.097900,5.124264e-19
0.098145,4.862719e-19
0.098389,5.145671e-19
0.098633,5.123950e-19
0.098877,5.395948e-19
0.099121,5.910567e-19
0.099365,5.649277e-19
0.099609,5.902150e-19
0.099854,6.269866e-19
0.100098,6.015909e-19
0.100342,6.215457e-19
0.100586,6.296159e-19
0.100830,6.416667e-19
0.101074,6.967944e-19
0.101318,6.842185e-19
0.101562,6.897928e-19
0.101807,7.312864e-19
0.102051,7.129008e-19
0.102295,7.227688e-19
0.102539,7.381852e-19
0.102783,7.414686e-19
0.103027,7.933297e-19
0.103271,7.956661e-19
0.103516,7.886524e-19
0.103760,8.272611e-19
0.104004,8.168477e-19
0.104248,8.191681e-19
0.104492,8.390131e-19
0.104736,8.374517e-19
0.104980,8.823343e-19
0.105225,8.974235e-19
0.105469,8.841707e-19
0.105713,9.166545e-19
0.105957,9.122005e-19
0.106201,9.097759e-19
0.106445,9.336835e-19
0.106689,9.283859e-19
0.106934,9.640654e-19
0.107178,9.898596e-19
0.107422,9.745205e-19
0.107666,9.998225e-19
0.107910,9.993165e-19
0.108154,9.918959e-19
0.108398,1.019633e-18
0.108643,1.013447e-18
0.108887,1.038226e-18
0.109131,1.073384e-18
0.109375,1.057495e-18
0.109619,1.075323e-18
0.109863,1.080247e-18
0.110107,1.066016e-18
0.110352,1.096486e-18
0.110596,1.093989e-18
0.110840,1.104215e-18
0.111084,1.146591e-18
0.111328,1.134350e-18
0.111572,1.142710e-18
0.111816,1.153726e-18
0.112061,1.132183e-18
0.112305,1.162152e-18
0.112549,1.169128e-18
0.112793,1.163795e-18
0.113037,1.207717e-18
0.113281,1.203954e-18
0.113525,1.202934e-18
0.113770,1.218130e-18
0.114014,1.191552e-18
0.114258,1.216358e-18
0.114502,1.236489e-18
0.114746,1.218086e-18
0.114990,1.257527e-18
0.115234,1.266056e-18
0.115479,1.253781e-18
0.115723,1.273572e-18
0.115967,1.246261e-18
0.116211,1.257870e-18
0.116455,1.293722e-18
0.116699,1.269375e-18
0.116943,1.294760e-18
0.117188,1.317588e-18
0.117432,1.299090e-18
0.117676,1.316520e-18
0.117920,1.294985e-18
0.118164,1.290716e-18
0.118408,1.336990e-18
0.118652,1.317650e-18
0.118896,1.322749e-18
0.119141,1.357729e-18
0.119385,1.339487e-18
0.119629,1.348354e-18
0.119873,1.337093e-18
0.120117,1.316505e-18
0.120361,1.365483e-18
0.120605,1.360275e-18
0.120850,1.344198e-18
0.121094,1.383489e-18
0.121338,1.373308e-18
0.121582,1.370033e-18
0.121826,1.368548e-18
0.122070,1.339077e-18
0.122314,1.379751e-18
0.122559,1.393479e-18
0.122803,1.363612e-18
0.123047,1.395029e-18
0.123291,1.398161e-18
0.123535,1.385486e-18
0.123779,1.387910e-18
0.124023,1.356124e-18
0.124268,1.382926e-18
0.124512,1.413878e-18
0.124756,1.379915e-18
0.125000,1.395638e-18
0.125244,1.411575e-18
0.125488,1.395716e-18
0.125732,1.395884e-18
0.125977,1.366498e-18
0.126221,1.378526e-18
0.126465,1.420508e-18
0.126709,1.391691e-18
0.126953,1.388999e-18
0.127197,1.411991e-18
0.127441,1.398762e-18
0.127686,1.394078e-18
0.127930,1.368679e-18
0.128174,1.367885e-18
0.128418,1.413690e-18
0.128662,1.396183e-18
0.128906,1.377652e-18
0.129150,1.399148e-18
0.129395,1.393448e-18
0.129639,1.385987e-18
0.129883,1.360979e-18
0.130127,1.350959e-18
0.130371,1.395649e-18
0.130615,1.390033e-18
0.130859,1.362862e-18
0.131104,1.377006e-18
0.131348,1.377195e-18
0.131592,1.370526e-18
0.131836,1.345217e-18
0.132080,1.326894e-18
0.132324,1.368276e-18
0.132568,1.373295e-18
0.132812,1.342041e-18
0.133057,1.347506e-18
0.133301,1.349533e-18
0.133545,1.346799e-18
0.133789,1.323513e-18
0.134033,1.295290e-18
0.134277,1.332675e-18
0.134521,1.347542e-18
0.134766,1.314334e-18
0.135010,1.313364e-18
0.135254,1.312754e-18
0.135498,1.312457e-18
